English,Turkish
time,zaman
person,kişi
year,yıl
way,yol
day,gün
thing,şey
man,adam
woman,kadın
child,çocuk
world,dünya
school,okul
state,devlet
family,aile
student,öğrenci
group,grup
country,ülke
problem,sorun
hand,el
part,parça
place,yer
case,durum
week,hafta
company,şirket
system,sistem
program,program
question,soru
work,iş
government,hükümet
number,sayı
night,gece
point,nokta
home,ev
water,su
room,oda
mother,anne
area,alan
money,para
story,hikaye
fact,gerçek
month,ay
lot,çok
right,doğru
study,çalışma
book,kitap
eye,göz
job,iş
word,kelime
business,iş
issue,sorun
side,yan
kind,tür
head,baş
house,ev
service,hizmet
friend,arkadaş
father,baba
power,güç
hour,saat
game,oyun
line,çizgi
end,son
member,üye
law,yasa
car,araba
city,şehir
community,topluluk
name,isim
president,başkan
team,takım
minute,dakika
idea,fikir
kid,çocuk
body,vücut
information,bilgi
back,arka
parent,ebeveyn
face,yüz
others,diğerleri
level,seviye
office,ofis
door,kapı
health,sağlık
art,sanat
war,savaş
history,tarih
party,parti
result,sonuç
change,değişim
morning,sabah
reason,sebep
research,araştırma
girl,kız
guy,adam
moment,an
air,hava
teacher,öğretmen
force,güç
education,eğitim